palavra,tamanho,valor_palavra
2,1,0.0
1080,4,0.0
&c,2,182327.0
10-point,8,1409702.0
10th,4,400254.0
11-point,8,1409702.0
12-point,8,1409702.0
16-point,8,1409702.0
18-point,8,1409702.0
1st,3,587286.0
"2,4,5-t",7,281227.0
"2,4-d",5,153205.0
20-point,8,1409702.0
2D,2,0.0
2nd,3,463751.0
30-30,5,0.0
3D,2,0.0
3-D,3,0.0
3M,2,0.0
3rd,3,459163.0
48-point,8,1409702.0
4-D,3,0.0
4GL,3,0.0
4H,2,0.0
4th,3,400254.0
5-point,7,1409702.0
5-T,3,0.0
5th,3,400254.0
6-point,7,1409702.0
6th,3,400254.0
7-point,7,1409702.0
7th,3,400254.0
8-point,7,1409702.0
8th,3,400254.0
9-point,7,1409702.0
9th,3,400254.0
a,1,367425.0
a',2,367425.0
a-,2,367425.0
A&M,3,0.0
A&P,3,0.0
A.,2,0.0
A.A.A.,6,0.0
A.B.,4,0.0
A.B.A.,6,0.0
A.C.,4,0.0
A.D.,4,0.0
A.D.C.,6,0.0
A.F.,4,0.0
A.F.A.M.,8,0.0
A.G.,4,0.0
A.H.,4,0.0
A.I.,4,0.0
A.I.A.,6,0.0
A.I.D.,6,0.0
A.L.,4,0.0
A.L.P.,6,0.0
A.M.,4,0.0
A.M.A.,6,0.0
A.M.D.G.,8,0.0
A.N.,4,0.0
a.p.,4,502159.0
a.r.,4,673383.0
A.R.C.S.,8,0.0
A.U.,4,0.0
A.U.C.,6,0.0
A.V.,4,0.0
a.w.,4,404192.0
A.W.O.L.,8,0.0
A/C,3,0.0
A/F,3,0.0
A/O,3,0.0
A/P,3,0.0
A/V,3,0.0
A1,2,0.0
A-1,3,0.0
A4,2,0.0
A5,2,0.0
AA,2,0.0
AAA,3,0.0
AAAA,4,0.0
AAAAAA,6,0.0
AAAL,4,0.0
AAAS,4,0.0
Aaberg,6,1338140.0
Aachen,6,1456467.0
AAE,3,0.0
AAEE,4,0.0
AAF,3,0.0
AAG,3,0.0
aah,3,853877.0
aahed,5,1484224.0
aahing,6,1645458.0
aahs,4,1159936.0
AAII,4,0.0
aal,3,984106.0
Aalborg,7,1418054.0
Aalesund,8,2021110.0
aalii,5,1734896.0
aaliis,6,2040955.0
