palavra,tamanho,valor_palavra
a,1,367425.0
à,1,0.0
Aarão,5,981183.0
aba,3,816825.0
abacate,7,2124946.0
abacateiro,10,3114099.0
abacateiros,11,3420158.0
abacates,8,2431005.0
abacaxi,7,1754345.0
abacaxis,8,2060404.0
abaciais,8,2423426.0
abacial,7,1991228.0
ábaco,5,939527.0
ábacos,6,1245586.0
abade,5,1447172.0
abades,6,1753231.0
abadessa,8,2426715.0
abadessas,9,2732774.0
abadia,6,1712850.0
abadias,7,2018909.0
abafa,5,1238637.0
abafá,5,871212.0
abafada,7,1759267.0
abafadas,8,2065326.0
abafadiça,9,2134662.0
abafadiças,10,2440721.0
abafadiço,9,2075037.0
abafadiços,10,2381096.0
abafado,7,1699642.0
abafados,8,2005701.0
abafai,6,1614032.0
abafais,7,1920091.0
abafam,6,1365406.0
abafamento,10,2742121.0
abafamentos,11,3048180.0
abafamo,7,1673206.0
abafamos,8,1979265.0
abafando,8,2010188.0
abafar,6,1544595.0
abafara,7,1912020.0
abafará,7,1544595.0
abafaram,8,2038789.0
abafáramos,10,2285223.0
abafarão,8,1852395.0
abafaras,8,2218079.0
abafarás,8,1850654.0
abafardes,9,2481001.0
abafarei,8,2397132.0
abafareis,9,2703191.0
abafáreis,9,2335766.0
abafarem,8,2148506.0
abafaremo,9,2456306.0
abafaremos,10,2762365.0
abafares,8,2327796.0
abafaria,8,2287415.0
abafariam,9,2414184.0
abafaríamos,11,2652648.0
abafarias,9,2593474.0
abafaríeis,10,2703191.0
abafarmo,8,1979164.0
abafarmos,9,2285223.0
abafas,6,1544696.0
abafasse,8,2327897.0
abafásseis,10,2641926.0
abafassem,9,2454666.0
abafássemos,11,2701100.0
abafasses,9,2633956.0
abafaste,8,2303065.0
abafastes,9,2609124.0
abafava,7,1648956.0
abafavam,8,1775725.0
abafávamos,10,2022159.0
abafavas,8,1955015.0
abafáveis,9,2072702.0
abafe,5,1348354.0
abafei,6,1723749.0
abafeis,7,2029808.0
abafem,6,1475123.0
abafemo,7,1782923.0
abafemos,8,2088982.0
abafes,6,1654413.0
abafo,5,1179012.0
abafou,6,1336489.0
abaixa,6,1572018.0
abaixá,6,1204593.0
abaixada,8,2092648.0
abaixadas,9,2398707.0
abaixado,8,2033023.0
abaixados,9,2339082.0
abaixai,7,1947413.0
abaixais,8,2253472.0
abaixam,7,1698787.0
abaixamo,8,2006587.0
abaixamos,9,2312646.0
abaixando,9,2343569.0
abaixar,7,1877976.0
abaixara,8,2245401.0
abaixará,8,1877976.0
abaixaram,9,2372170.0
abaixáramos,11,2618604.0
